names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bad Habits,spotify:track:6PQ88X9TkUIAUIZJHW2upE,['Ed Sheeran'],97,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4
STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,"['The Kid LAROI', 'Justin Bieber']",100,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
You - Topic Remix,spotify:track:5bbtc9t6FcerXp732H2XNu,"['Regard', 'Troye Sivan', 'Tate McRae', 'Topic']",64,0.733,0.887,6,-5.601,0,0.0692,0.0554,0.000131,0.241,0.696,124.025,157160,4
Heat Waves,spotify:track:02MWAaffLxlfxAUY7c5dvx,['Glass Animals'],86,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
good 4 u,spotify:track:6PERP62TejQjgHu81OHxgM,['Olivia Rodrigo'],66,0.556,0.661,6,-5.052,0,0.204,0.3,0.0,0.101,0.668,168.56,178148,4
The Business,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,['Tiësto'],87,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4
Run,spotify:track:2UbVnbE5FH6008mAm6Mmgw,['OneRepublic'],86,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003,169011,4
Kiss Me More (feat. SZA),spotify:track:748mdHapucXQri7IAO8yFK,"['Doja Cat', 'SZA']",91,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4
Summer Wave,spotify:track:2TTsVof1ThSv98XOsJ4r1S,"['Solven', 'Hysaze']",48,0.791,0.568,8,-9.593,0,0.052,0.111,0.0165,0.177,0.256,119.971,204000,4
Save Your Tears (with Ariana Grande) (Remix),spotify:track:37BZB0z9T8Xu7U3e65qxFy,"['The Weeknd', 'Ariana Grande']",91,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
Leave Before You Love Me (with Jonas Brothers),spotify:track:4qu63nuBpdn0qHUHuObEj1,"['Marshmello', 'Jonas Brothers']",87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4
RAPSTAR,spotify:track:43PGPuHIlVOc04jrZVh9L6,['Polo G'],85,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4
Don't Go Yet,spotify:track:1058fW9H3fZA6QjYCdOBad,['Camila Cabello'],88,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,164842,4
California Love,spotify:track:5VMoAtyeqWu9Bkn7zg8tRC,"['DJ Dark', 'Mentol', 'D.E.P']",51,0.767,0.744,7,-7.4,1,0.0503,0.0243,0.29,0.354,0.41,107.015,187850,4
Carried Away (Love To Love) (with Madison Beer),spotify:track:4IvuPZogXbY7LODs7qzr0W,"['Surf Mesa', 'Madison Beer']",69,0.518,0.683,1,-5.295,1,0.0364,0.346,0.0,0.311,0.304,141.971,182654,4
LET IT GO (feat. Justin Bieber & 21 Savage),spotify:track:1cEhrSF6EylAEqdhUGuNpX,"['DJ Khaled', '21 Savage', 'Justin Bieber']",73,0.877,0.444,8,-7.547,1,0.172,0.24,0.0,0.169,0.658,129.06,165527,4
Lush Life - Retro Version,spotify:track:4O5ygqTjiXLWo9HASGsk8E,['Zara Larsson'],61,0.842,0.504,7,-7.028,0,0.0603,0.105,0.0,0.114,0.726,98.05,193853,4
dancing in the kitchen,spotify:track:0ohcCrxZkBfFbkuRPOZQZX,['LANY'],75,0.619,0.736,11,-7.651,1,0.0425,0.0328,0.0,0.0864,0.299,93.993,208600,4
Beautiful Mistakes (feat. Megan Thee Stallion),spotify:track:6fRxMU4LWwyaSSowV441IU,"['Maroon 5', 'Megan Thee Stallion']",58,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395,4
Cold Heart - PNAU Remix,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,"['Elton John', 'Dua Lipa', 'PNAU']",87,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
Goosebumps - Remix,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"['Travis Scott', 'HVME']",85,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162803,4
you broke me first - Gryffin Remix,spotify:track:3Ni9jLlq3xPoOKv1HYlQrH,"['Tate McRae', 'Gryffin']",59,0.57,0.797,1,-5.514,0,0.0416,0.361,0.0,0.155,0.227,124.035,215648,4
Beggin',spotify:track:3Wrjm47oTz2sjIgck11l5e,['Måneskin'],97,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4
Need To Know,spotify:track:10hcDov7xmcRviA8jLwEaI,['Doja Cat'],80,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
